Country Name,Legislation and sources,度量名称,度量值,纬度(生成),经度(生成)
Serbia,"No person can be subjected to criminal sanctions for an offence committed while under the age of 14. [Law on Juvenile Criminal Offenders and Criminal Protection of Juveniles, Article 2; Criminal Code, Article 4(3)]",记录数,1,44.021,20.699
Serbia,"No person can be subjected to criminal sanctions for an offence committed while under the age of 14. [Law on Juvenile Criminal Offenders and Criminal Protection of Juveniles, Article 2; Criminal Code, Article 4(3)]",Minimum age of criminal responsibility,14,44.021,20.699
Senegal,"There are no provisions permitting criminal penalties for children under the age of 13. [Penal Code, Article 52.]",记录数,1,15.044,-15.081
Senegal,"There are no provisions permitting criminal penalties for children under the age of 13. [Penal Code, Article 52.]",Minimum age of criminal responsibility,13,15.044,-15.081
Saudi Arabia,"The minimum age for criminal responsibility has reportedly been raised from 7 to 12, but reports are inconsistent and the rise would not apply to girls or in qisas cases.. The Detention Regulation and the Juvenile Homes’ Regulation 1975 define a juvenile as below the age of 18. There are provisions for juvenile courts and the law states that juveniles must be tried “in accordance with the relevant laws and regulations”, but the law does not require all child offenders to be tried in the juvenile justice system or require judges to base their decisions on children’s age at the time of the offence. Judicial opinion on when a child can be tried as an adult varies widely and tends to be based on a child’s physical development. [Law of Criminal Procedure, Article 13; Cipriani, Children's Rights and the Minimum age of Criminal Responsibility, 2009; Human Rights Watch, Adults Before their Time: Children in Saudi Arabia's Criminal Justice System, p. 13]",记录数,1,24.191,44.32
Saudi Arabia,"The minimum age for criminal responsibility has reportedly been raised from 7 to 12, but reports are inconsistent and the rise would not apply to girls or in qisas cases.. The Detention Regulation and the Juvenile Homes’ Regulation 1975 define a juvenile as below the age of 18. There are provisions for juvenile courts and the law states that juveniles must be tried “in accordance with the relevant laws and regulations”, but the law does not require all child offenders to be tried in the juvenile justice system or require judges to base their decisions on children’s age at the time of the offence. Judicial opinion on when a child can be tried as an adult varies widely and tends to be based on a child’s physical development. [Law of Criminal Procedure, Article 13; Cipriani, Children's Rights and the Minimum age of Criminal Responsibility, 2009; Human Rights Watch, Adults Before their Time: Children in Saudi Arabia's Criminal Justice System, p. 13]",Minimum age of criminal responsibility,12,24.191,44.32
Sao Tome and Principe,"Children under the age of 16 cannot be held criminally responsible. [Penal Code, Article 19]",记录数,1,0.216,6.595
Sao Tome and Principe,"Children under the age of 16 cannot be held criminally responsible. [Penal Code, Article 19]",Minimum age of criminal responsibility,16,0.216,6.595
San Marino,"No person under the age of 12 can be charged with a criminal offence. [Criminal Code, Article 10]",记录数,1,43.942,12.4611
San Marino,"No person under the age of 12 can be charged with a criminal offence. [Criminal Code, Article 10]",Minimum age of criminal responsibility,12,43.942,12.4611
Samoa,"No person can be held criminally responsible for an act or omission carried out while under the age of 10. A child older than 10 but younger than 12 at the time of carrying out an alleged offence can only be found criminally responsible where he or she “knew the act or omission was morally wrong, or that it was contrary to law.” [Crimes Act 2013, Section 12(1) and (2)]",记录数,1,-13.6221,-172.439
Samoa,"No person can be held criminally responsible for an act or omission carried out while under the age of 10. A child older than 10 but younger than 12 at the time of carrying out an alleged offence can only be found criminally responsible where he or she “knew the act or omission was morally wrong, or that it was contrary to law.” [Crimes Act 2013, Section 12(1) and (2)]",Minimum age of criminal responsibility,10,-13.6221,-172.439
Saint Vincent and the Grenadines,"Children can be held criminally responsible from the age of eight [Juveniles Act, Section 3 and Criminal Code, Section 12]",记录数,1,13.2528,-61.1949
Saint Vincent and the Grenadines,"Children can be held criminally responsible from the age of eight [Juveniles Act, Section 3 and Criminal Code, Section 12]",Minimum age of criminal responsibility,8,13.2528,-61.1949
Saint Lucia,"No one can be held criminally responsible for actions taken while under the age of 12. [Children and Young Persons Act, Section 3]",记录数,1,13.909,-60.9776
Saint Lucia,"No one can be held criminally responsible for actions taken while under the age of 12. [Children and Young Persons Act, Section 3]",Minimum age of criminal responsibility,12,13.909,-60.9776
Saint Kitts and Nevis,"No child under the age of eight can be held guilty of a criminal offence.[ Juvenile Act, Section 3. as per Initial report of Saint Kitts and Nevis to the UN Committee on the Rights of the Child, CRC/C/3/Add.51, 5 May 1997.]",记录数,1,17.147,-62.58
Saint Kitts and Nevis,"No child under the age of eight can be held guilty of a criminal offence.[ Juvenile Act, Section 3. as per Initial report of Saint Kitts and Nevis to the UN Committee on the Rights of the Child, CRC/C/3/Add.51, 5 May 1997.]",Minimum age of criminal responsibility,8,17.147,-62.58
Rwanda,"Children can be subjected to criminal penalties from the age of 14. [Penal Code, Article 77]",记录数,1,-1.887,29.904
Rwanda,"Children can be subjected to criminal penalties from the age of 14. [Penal Code, Article 77]",Minimum age of criminal responsibility,14,-1.887,29.904
Russian Federation,"A child can be held criminally liable for any offence committed from the age of 16. A person aged 14 or older can be held criminally liable for a number of offences specifically listed in Article 20(2) of the Criminal Code. [Criminal Code, Article 20(1) and (2)]",记录数,1,64.736,104.062
Russian Federation,"A child can be held criminally liable for any offence committed from the age of 16. A person aged 14 or older can be held criminally liable for a number of offences specifically listed in Article 20(2) of the Criminal Code. [Criminal Code, Article 20(1) and (2)]",Minimum age of criminal responsibility,14,64.736,104.062
Romania,"No one under the age of 14 can be held criminally liable. A child aged 14 to 16 can only be held criminally liable where it can be proved that he or she had “discernment”. Children over the age of 16 are held criminally liable “within the framework of the system of sanctions applicable to minors”. [Criminal Code, Article 113(1)-(3)]",记录数,1,45.933,25.119
Romania,"No one under the age of 14 can be held criminally liable. A child aged 14 to 16 can only be held criminally liable where it can be proved that he or she had “discernment”. Children over the age of 16 are held criminally liable “within the framework of the system of sanctions applicable to minors”. [Criminal Code, Article 113(1)-(3)]",Minimum age of criminal responsibility,14,45.933,25.119
Qatar,"Children under the age of seven cannot be held criminally responsible. [Law No. II of 2004, the Penal Code, Article 53]",记录数,1,25.3174,51.1522
Qatar,"Children under the age of seven cannot be held criminally responsible. [Law No. II of 2004, the Penal Code, Article 53]",Minimum age of criminal responsibility,7,25.3174,51.1522
Portugal,"Persons under the age of 16 cannot be held criminally liable. Persons aged between 12 and 16 can be subject to penalties under the Guardianship and Education Law, which allows for the detention of children in closed educational centres. [Criminal Code, Article 19; Lei Tutelar Educativa 1999 (Guardianship and Education Law), Articles 1 and 4]",记录数,1,40.957,-7.9373
Portugal,"Persons under the age of 16 cannot be held criminally liable. Persons aged between 12 and 16 can be subject to penalties under the Guardianship and Education Law, which allows for the detention of children in closed educational centres. [Criminal Code, Article 19; Lei Tutelar Educativa 1999 (Guardianship and Education Law), Articles 1 and 4]",Minimum age of criminal responsibility,12,40.957,-7.9373
Poland,"Any person aged 17 or over is liable to be tried for any criminal offence under the Criminal Code. For offences specifically listed in Art. 10(2) children can be tried from the age of 15. [Penal Code, Art. 10]",记录数,1,52.442,19.72
Poland,"Any person aged 17 or over is liable to be tried for any criminal offence under the Criminal Code. For offences specifically listed in Art. 10(2) children can be tried from the age of 15. [Penal Code, Art. 10]",Minimum age of criminal responsibility,15,52.442,19.72
Philippines,"No one can be held criminally responsible for an act carried out while under the age of 15. Children aged older than 15 but younger than 18 can only be held criminally responsible where they have “acted with discernment”. [Republic Act No. 10630, Section 6]

Several Bills were introduced between 2006 and 2013 with a view to lowering the minimum age of criminal responsibility, but the relevant provisions did not appear in the version of the Act that entered into force.",记录数,1,17.181,121.256
Philippines,"No one can be held criminally responsible for an act carried out while under the age of 15. Children aged older than 15 but younger than 18 can only be held criminally responsible where they have “acted with discernment”. [Republic Act No. 10630, Section 6]

Several Bills were introduced between 2006 and 2013 with a view to lowering the minimum age of criminal responsibility, but the relevant provisions did not appear in the version of the Act that entered into force.",Minimum age of criminal responsibility,15,17.181,121.256
Peru,"The minimum age of criminal responsibility is formally 18. Where a person under 18 infringes the criminal law, he or she is considered to have committed “an infraction” and can be subjected to socio-educative measures, though these measures include deprivation of liberty. [Penal Code, Article 20.2.]",记录数,1,-12.664,-72.98
Peru,"The minimum age of criminal responsibility is formally 18. Where a person under 18 infringes the criminal law, he or she is considered to have committed “an infraction” and can be subjected to socio-educative measures, though these measures include deprivation of liberty. [Penal Code, Article 20.2.]",Minimum age of criminal responsibility,14,-12.664,-72.98
Paraguay,"Children can be held criminally responsible from the age of 14. An adolescent can only be held responsible if he or she is of sufficient maturity to understand the illegality of his or her actions. Younger children can be the subject of protective measures. [Childhood and Adolescence Code, Article 194.]",记录数,1,-23.266,-58.409
Paraguay,"Children can be held criminally responsible from the age of 14. An adolescent can only be held responsible if he or she is of sufficient maturity to understand the illegality of his or her actions. Younger children can be the subject of protective measures. [Childhood and Adolescence Code, Article 194.]",Minimum age of criminal responsibility,14,-23.266,-58.409
Papua New Guinea,"No one can be held criminally responsible for an act or omission committed while under the age of seven. A child older than 10 but younger than 14 can only be held criminally responsible if he or she had the capacity to know that he ought not to do the relevant act or make the relevant omission. [Criminal Code, Sections 30(1) and (2)]",记录数,1,-5.636,142.798
Papua New Guinea,"No one can be held criminally responsible for an act or omission committed while under the age of seven. A child older than 10 but younger than 14 can only be held criminally responsible if he or she had the capacity to know that he ought not to do the relevant act or make the relevant omission. [Criminal Code, Sections 30(1) and (2)]",Minimum age of criminal responsibility,10,-5.636,142.798
Panama,"Children can be subject to penalties for criminal offences from the age of 12. [Ley No. 40 del Regimen Especial de Responsabilidad Penal para la Adolescencia, Articles 7 and 8. (as amended by Ley No. 6 de 2010, Articles 2 and 4.)]",记录数,1,8.348,-81.005
Panama,"Children can be subject to penalties for criminal offences from the age of 12. [Ley No. 40 del Regimen Especial de Responsabilidad Penal para la Adolescencia, Articles 7 and 8. (as amended by Ley No. 6 de 2010, Articles 2 and 4.)]",Minimum age of criminal responsibility,12,8.348,-81.005
Palestine," West Bank.

Children under Palestinian criminal law can be held criminally responsible from the age of 12. [Palestinian Child Law, Article 67 as amended]

Under Israeli military law as it applies to child offenders, no person under the age of 12 can be arrested or prosecuted in a military court. [Military Order 1651, Section 191]",记录数,1,32.097,35.26
Palestine," West Bank.

Children under Palestinian criminal law can be held criminally responsible from the age of 12. [Palestinian Child Law, Article 67 as amended]

Under Israeli military law as it applies to child offenders, no person under the age of 12 can be arrested or prosecuted in a military court. [Military Order 1651, Section 191]",Minimum age of criminal responsibility,12,32.097,35.26
Palau,"No one can be held criminally responsible for an offence allegedly committed while under the age of 10. Children between the ages of 10 and 14 can only be held criminally responsible for murder or rape. [Palau National Code, 17.106]",记录数,1,7.5288,134.5573
Palau,"No one can be held criminally responsible for an offence allegedly committed while under the age of 10. Children between the ages of 10 and 14 can only be held criminally responsible for murder or rape. [Palau National Code, 17.106]",Minimum age of criminal responsibility,10,7.5288,134.5573
Pakistan,"Under the Penal Code, no one can be held criminally responsible for an offence carried out while under the age of seven. Children older than seven and younger than twelve can only be punished under the Penal Code where they have “attained sufficient maturity of understanding to judge the nature and consequences of [his or her] conduct on that occasion”. [Penal Code, Sections 82 and 83]

However; under the Hudood Ordinances, children are liable for punishments on reaching puberty. Other laws do not specify a minimum age. The Juvenile Justice System Ordinance (JJSO) defines a child as a person under 18 at the time of committing an offence.

[Offence of Zina (Enforcement of Hudood) Ordinance 1979, Section 2(a); Offence of Qazf (Enforcement of Hadd) Ordinance 1979, Section 2(a); Prohibition (Enforcement of Hadd) Order 1979, Section 2(a); Offences Against Property (Enforcement of Hudood) Ordinance 1979, Section 2(a). The Supreme Court has ruled that for a female puberty is the onset of menstruation (Farrukj Ikram v The State, PLD 1987 SC 5), for a male when he starts secreting semen (Abdul Jabbar v The State, PLD 1991 SC 172).; Frontier Crimes Regulation 1901; Juvenile Justice System Ordinance, Section 2(b)]",记录数,1,28.1854,66.6429
Pakistan,"Under the Penal Code, no one can be held criminally responsible for an offence carried out while under the age of seven. Children older than seven and younger than twelve can only be punished under the Penal Code where they have “attained sufficient maturity of understanding to judge the nature and consequences of [his or her] conduct on that occasion”. [Penal Code, Sections 82 and 83]

However; under the Hudood Ordinances, children are liable for punishments on reaching puberty. Other laws do not specify a minimum age. The Juvenile Justice System Ordinance (JJSO) defines a child as a person under 18 at the time of committing an offence.

[Offence of Zina (Enforcement of Hudood) Ordinance 1979, Section 2(a); Offence of Qazf (Enforcement of Hadd) Ordinance 1979, Section 2(a); Prohibition (Enforcement of Hadd) Order 1979, Section 2(a); Offences Against Property (Enforcement of Hudood) Ordinance 1979, Section 2(a). The Supreme Court has ruled that for a female puberty is the onset of menstruation (Farrukj Ikram v The State, PLD 1987 SC 5), for a male when he starts secreting semen (Abdul Jabbar v The State, PLD 1991 SC 172).; Frontier Crimes Regulation 1901; Juvenile Justice System Ordinance, Section 2(b)]",Minimum age of criminal responsibility,7,28.1854,66.6429
Oman,"No one can be subject to criminal penalties for an offence committed while under the age of nine. Where the age of a suspect is not established “it shall be evaluated by the judge”. [Penal Code, Article 104]",记录数,1,19.85,56.25
Oman,"No one can be subject to criminal penalties for an offence committed while under the age of nine. Where the age of a suspect is not established “it shall be evaluated by the judge”. [Penal Code, Article 104]",Minimum age of criminal responsibility,9,19.85,56.25
Norway,"No person can be punished for an offence committed while under the age of 15. [General Civil Penal Code, Section 46]",记录数,1,61.3701,9.3031
Norway,"No person can be punished for an offence committed while under the age of 15. [General Civil Penal Code, Section 46]",Minimum age of criminal responsibility,15,61.3701,9.3031
Nigeria,"The minimum age of criminal responsibility varies among Nigerian states. The federal Children’s Rights Act 2003 does not specify a minimum age of criminal responsibility, but it defines a child as under 18 and states that a child in conflict with the law must be dealt with under the Act. The Children and Young Persons Law defines a child as under 14 and a young person as aged 14-16. It sets the minimum age of criminal responsibility at seven but states that children below that age who have allegedly committed a crime must be brought before the Juvenile Court. It provides for special measures for persons under 16 in conflict with the law, but persons older than 16 are tried as adults.

In the southern states, the Criminal Code Act 1916 sets the minimum age of criminal responsibility at seven. The Criminal Procedure Act 1945 defines an infant as under seven, a child as under 14, a young person as aged 14-16, a juvenile offender as under 17 and an adult as aged 17 and over. In the northern states, the Penal Code 1960 specifies that seven is the minimum age of criminal responsibility and categorises juvenile offenders as those under 17. According to the Sharia laws, children are eligible for hadd (for which the prescribed punishment is mandatory) and qisas (punished by retaliation) punishments from the age of puberty. [Constitution of Nigeria, Article 175(1).]",记录数,1,9.3417,7.678
Nigeria,"The minimum age of criminal responsibility varies among Nigerian states. The federal Children’s Rights Act 2003 does not specify a minimum age of criminal responsibility, but it defines a child as under 18 and states that a child in conflict with the law must be dealt with under the Act. The Children and Young Persons Law defines a child as under 14 and a young person as aged 14-16. It sets the minimum age of criminal responsibility at seven but states that children below that age who have allegedly committed a crime must be brought before the Juvenile Court. It provides for special measures for persons under 16 in conflict with the law, but persons older than 16 are tried as adults.

In the southern states, the Criminal Code Act 1916 sets the minimum age of criminal responsibility at seven. The Criminal Procedure Act 1945 defines an infant as under seven, a child as under 14, a young person as aged 14-16, a juvenile offender as under 17 and an adult as aged 17 and over. In the northern states, the Penal Code 1960 specifies that seven is the minimum age of criminal responsibility and categorises juvenile offenders as those under 17. According to the Sharia laws, children are eligible for hadd (for which the prescribed punishment is mandatory) and qisas (punished by retaliation) punishments from the age of puberty. [Constitution of Nigeria, Article 175(1).]",Minimum age of criminal responsibility,7,9.3417,7.678
Niger,,记录数,1,16.996,9.915
Niger,,Minimum age of criminal responsibility,13,16.996,9.915
Nicaragua,"Under the definition of criminal responsibility used in national legislation, criminal responsibility begins at 18, though children can be subject to penalties under the juvenile justice system from the age of 13. [Childhood and Adolescence Code, Article 95]",记录数,1,12.692,-85.03
Nicaragua,"Under the definition of criminal responsibility used in national legislation, criminal responsibility begins at 18, though children can be subject to penalties under the juvenile justice system from the age of 13. [Childhood and Adolescence Code, Article 95]",Minimum age of criminal responsibility,13,12.692,-85.03
New Zealand,"No person can be convicted of an offence in relation to an act or omission committed while under the age of 10. A child older than 10 but younger than 14 can only be convicted of an offence where he or she knew that the act or omission was wrong or that it was contrary to law.

The Children, Young Persons and Their Families Act sets further limits on when a person under the age of 18 can be tried and convicted:

    Children aged 10 or 11 can only be prosecuted for murder or manslaughter and can be tried as if they were a “young person” (i.e. aged 14 to 16 inclusive).

    Children aged 12 or 13 can be held criminally responsible for offences for which the maximum penalty is or includes imprisonment for life or where the maximum penalty is 10 years' imprisonment or more.

[Crimes Act 1961, Sections 21(1) and 21(2); Children, Young Persons and Their Families Act, Section 272]",记录数,1,-42.558,172.377
New Zealand,"No person can be convicted of an offence in relation to an act or omission committed while under the age of 10. A child older than 10 but younger than 14 can only be convicted of an offence where he or she knew that the act or omission was wrong or that it was contrary to law.

The Children, Young Persons and Their Families Act sets further limits on when a person under the age of 18 can be tried and convicted:

    Children aged 10 or 11 can only be prosecuted for murder or manslaughter and can be tried as if they were a “young person” (i.e. aged 14 to 16 inclusive).

    Children aged 12 or 13 can be held criminally responsible for offences for which the maximum penalty is or includes imprisonment for life or where the maximum penalty is 10 years' imprisonment or more.

[Crimes Act 1961, Sections 21(1) and 21(2); Children, Young Persons and Their Families Act, Section 272]",Minimum age of criminal responsibility,10,-42.558,172.377
Netherlands,"Children can be held criminally liable for offences committed from the age of 12. [Wetboek van Stafrecht (Penal Code), Article 77a]",记录数,1,52.1704,5.0102
Netherlands,"Children can be held criminally liable for offences committed from the age of 12. [Wetboek van Stafrecht (Penal Code), Article 77a]",Minimum age of criminal responsibility,12,52.1704,5.0102
Nepal,"The Children's Act provides that no child can be punished for a criminal act if he or she was under 10 years old at the time of the offence. Children aged 10 years to 13 years inclusive, can only be given a warning for offences that carry a maximum penalty of a fine. [Children's Act, Section 11(1) and (2)]",记录数,1,28.2114,83.5608
Nepal,"The Children's Act provides that no child can be punished for a criminal act if he or she was under 10 years old at the time of the offence. Children aged 10 years to 13 years inclusive, can only be given a warning for offences that carry a maximum penalty of a fine. [Children's Act, Section 11(1) and (2)]",Minimum age of criminal responsibility,10,28.2114,83.5608
Nauru,"A person under the age of 10 cannot be held criminally responsible for any act or omission. A person aged under the age of 14 can only be held criminally responsible where it can be proved that he or she had capacity to know that he or she “ought not to do the act or make the omission”. [Queensland Criminal Code 1899 (as amended), Section 29(1) and (2)]",记录数,1,-0.5287,166.9315
Nauru,"A person under the age of 10 cannot be held criminally responsible for any act or omission. A person aged under the age of 14 can only be held criminally responsible where it can be proved that he or she had capacity to know that he or she “ought not to do the act or make the omission”. [Queensland Criminal Code 1899 (as amended), Section 29(1) and (2)]",Minimum age of criminal responsibility,10,-0.5287,166.9315
Namibia,"Note: at the time of writing, the Child Care and Protection Bill had not been enacted, but if this legislation entered into force, it would substantially reform the law with regards to the sentencing of child offenders [The Child Care and Protection Bill is available at: http://www.unicef.org/namibia/CCPA_FINAL_DRAFT_COMPLETE_clean_copy__09june_2010__sent_9_July.pdf].

Children under the age of seven cannot be held criminally responsible. A child older than seven but younger than 14 can only be convicted of an offence if the State can prove that the child knowingly intended to do wrong and understood the consequences of the wrongful act [First periodic report of Namibia to the UN Committee on the Rights of the Child, CRC/C/3/Add.12, January 1993, para. 40].",记录数,1,-21.276,17.219
Namibia,"Note: at the time of writing, the Child Care and Protection Bill had not been enacted, but if this legislation entered into force, it would substantially reform the law with regards to the sentencing of child offenders [The Child Care and Protection Bill is available at: http://www.unicef.org/namibia/CCPA_FINAL_DRAFT_COMPLETE_clean_copy__09june_2010__sent_9_July.pdf].

Children under the age of seven cannot be held criminally responsible. A child older than seven but younger than 14 can only be convicted of an offence if the State can prove that the child knowingly intended to do wrong and understood the consequences of the wrongful act [First periodic report of Namibia to the UN Committee on the Rights of the Child, CRC/C/3/Add.12, January 1993, para. 40].",Minimum age of criminal responsibility,7,-21.276,17.219
Myanmar [Burma],"No person can be held criminally responsible for an offence carried out while under the age of seven. Children aged seven to 12 may only be held criminally responsible where they have “attained sufficient maturity of understanding to judge the nature and consequences” of their conduct. [Child Law, Section 28(a) and (b)]",记录数,1,21.841,96.05
Myanmar [Burma],"No person can be held criminally responsible for an offence carried out while under the age of seven. Children aged seven to 12 may only be held criminally responsible where they have “attained sufficient maturity of understanding to judge the nature and consequences” of their conduct. [Child Law, Section 28(a) and (b)]",Minimum age of criminal responsibility,7,21.841,96.05
Mozambique,"Note: as of the time of writing a new Penal Code was under 
consideration in Mozambique, but at the time this report was finalised 
the Code had not been enacted.
There is no clear minimum age of criminal responsibility in 
Mozambique. Children under the age of 16 are subject to the jurisdiction
 of the Juvenile Court [Penal Code, Article 42 in conjunction with the 
Statute of Legal Aid to Minors], which is empowered to impose penalties 
amounting to deprivation of liberty.[ Decreto No. 417/71 Aprovo o Estatuto de Assistência Jurisdicional aos Menores do Ultramar, Artigo 16.]",记录数,1,-13.852,38.042
Mozambique,"Note: as of the time of writing a new Penal Code was under 
consideration in Mozambique, but at the time this report was finalised 
the Code had not been enacted.
There is no clear minimum age of criminal responsibility in 
Mozambique. Children under the age of 16 are subject to the jurisdiction
 of the Juvenile Court [Penal Code, Article 42 in conjunction with the 
Statute of Legal Aid to Minors], which is empowered to impose penalties 
amounting to deprivation of liberty.[ Decreto No. 417/71 Aprovo o Estatuto de Assistência Jurisdicional aos Menores do Ultramar, Artigo 16.]",Minimum age of criminal responsibility,16,-13.852,38.042
Morocco,"A child under the age of 12 at the time of an alleged offence cannot be held criminally liable. [Penal Code, Article 12; Criminal Procedure Code, Articles 138 and 458]",记录数,1,31.129,-7.355
Morocco,"A child under the age of 12 at the time of an alleged offence cannot be held criminally liable. [Penal Code, Article 12; Criminal Procedure Code, Articles 138 and 458]",Minimum age of criminal responsibility,12,31.129,-7.355
Montenegro,"No person can be subject to criminal sanctions for the commission of a criminal offence while under the age of 14. [Criminal Code, Article 80]",记录数,1,42.857,19.096
Montenegro,"No person can be subject to criminal sanctions for the commission of a criminal offence while under the age of 14. [Criminal Code, Article 80]",Minimum age of criminal responsibility,14,42.857,19.096
Mongolia,,记录数,1,46.516,102.564
Mongolia,,Minimum age of criminal responsibility,14,46.516,102.564
Monaco,"No person can be held criminally liable for an offence committed while under the age of 13. [CRC/C/28/Add.15, 17 July 2000, para. 37]",记录数,1,43.7384,7.4243
Monaco,"No person can be held criminally liable for an offence committed while under the age of 13. [CRC/C/28/Add.15, 17 July 2000, para. 37]",Minimum age of criminal responsibility,13,43.7384,7.4243
Moldova,"Children can be held criminally liable for all offences committed from the age of 16 onwards and for certain named offences from the age of 14. [Criminal Code, Article 21(1) and (2)]",记录数,1,47.524,28.444
Moldova,"Children can be held criminally liable for all offences committed from the age of 16 onwards and for certain named offences from the age of 14. [Criminal Code, Article 21(1) and (2)]",Minimum age of criminal responsibility,14,47.524,28.444
Micronesia," Federal law.

A person under the age of 18 who is treated as a “delinquent child” - any person under the age of 18 accused of violating a Trust Territory or district law – can be sentenced to confinement. There is no lower age limit for this form of deprivation of liberty.

A child can be tried as an adult from the age of 16 if the court is of the opinion that his or her physical and mental maturity so justifies. [FSMC, Title 12, Section 1101, 1102 and 1105]
Chuuk.

Children under the age of 10 are conclusively presumed to be incapable of committing any crime. A child aged 10 to 14 is presumed incapable of committing any crime, though this presumption can be rebutted. Proceedings against a “delinquent child” can be brought against any person under the age of 18. This provision permits confinement sentences for children that amount to deprivation of liberty regardless of age. [Chuuk State Law 6-66, Section 307]
Kosrae.

Children can be tried as adults from the age of 16 where the court finds that the physical and mental maturity of the child justify this measure. Children can be treated as “delinquents” when they violate state or national law, and can be subject to sentences amounting to deprivation of liberty. [Kosrae State Code, Sections 6.4802 and 6.4806]
Pohnpei.

At the time of writing, insufficient information about the criminal law was available to establish the minimum age of criminal responsibility in Pohnpei. Please contact CRIN at info@crin.org if you have any information on this issue.
Yap.

Any child under the age of 18 can be treated as a “delinquent child” if he or she has violated a state or federal law, with the exception of traffic laws. [Yap State Code, Section 1203; YSL2-86, Section 3]",记录数,1,7.531,150.457
Micronesia," Federal law.

A person under the age of 18 who is treated as a “delinquent child” - any person under the age of 18 accused of violating a Trust Territory or district law – can be sentenced to confinement. There is no lower age limit for this form of deprivation of liberty.

A child can be tried as an adult from the age of 16 if the court is of the opinion that his or her physical and mental maturity so justifies. [FSMC, Title 12, Section 1101, 1102 and 1105]
Chuuk.

Children under the age of 10 are conclusively presumed to be incapable of committing any crime. A child aged 10 to 14 is presumed incapable of committing any crime, though this presumption can be rebutted. Proceedings against a “delinquent child” can be brought against any person under the age of 18. This provision permits confinement sentences for children that amount to deprivation of liberty regardless of age. [Chuuk State Law 6-66, Section 307]
Kosrae.

Children can be tried as adults from the age of 16 where the court finds that the physical and mental maturity of the child justify this measure. Children can be treated as “delinquents” when they violate state or national law, and can be subject to sentences amounting to deprivation of liberty. [Kosrae State Code, Sections 6.4802 and 6.4806]
Pohnpei.

At the time of writing, insufficient information about the criminal law was available to establish the minimum age of criminal responsibility in Pohnpei. Please contact CRIN at info@crin.org if you have any information on this issue.
Yap.

Any child under the age of 18 can be treated as a “delinquent child” if he or she has violated a state or federal law, with the exception of traffic laws. [Yap State Code, Section 1203; YSL2-86, Section 3]",Minimum age of criminal responsibility,0,7.531,150.457
Mexico,"The Constitution of Mexico requires states to establish a system of justice applicable to children between the ages of 12 and 18. Children under the age of 12 can only be subject to rehabilitation and social assistance. The precise formulation of this system varies between the states. [Constitution of Mexico, Article 18]",记录数,1,22.925,-101.68
Mexico,"The Constitution of Mexico requires states to establish a system of justice applicable to children between the ages of 12 and 18. Children under the age of 12 can only be subject to rehabilitation and social assistance. The precise formulation of this system varies between the states. [Constitution of Mexico, Article 18]",Minimum age of criminal responsibility,12,22.925,-101.68
Mauritius,"There is no clear or overt minimum age of criminal responsibility in Mauritius. The Criminal Code Act allows for children under 14 to be subject to criminal measures if they have “discernment” but no lower age limit is set. Children who do not have discernment can be subject to deprivation of liberty, but not criminal conviction. [Criminal Code Act, Sections 44 and 45.]",记录数,1,-20.2529,57.5902
Mauritius,"There is no clear or overt minimum age of criminal responsibility in Mauritius. The Criminal Code Act allows for children under 14 to be subject to criminal measures if they have “discernment” but no lower age limit is set. Children who do not have discernment can be subject to deprivation of liberty, but not criminal conviction. [Criminal Code Act, Sections 44 and 45.]",Minimum age of criminal responsibility,0,-20.2529,57.5902
Mauritania,"No one can be held criminally responsible for an offence committed while under the age of seven.[ Ordonnance No. 2005-015 portant protection pénale de l'enfant, Article 2]",记录数,1,19.413,-10.6528
Mauritania,"No one can be held criminally responsible for an offence committed while under the age of seven.[ Ordonnance No. 2005-015 portant protection pénale de l'enfant, Article 2]",Minimum age of criminal responsibility,7,19.413,-10.6528
Marshall Islands,"No child under the age of 10 is considered capable of committing a crime under national law, and children between the ages of 10 and 14 are presumed incapable of committing crimes except in relation to the offences of murder and rape where the presumption is rebuttable. However, there is no minimum age limit for the bringing disciplinary proceedings against a person under the age of 18. The UN Committee on the Rights of the Child has been critical of this provision, noting that it amounts to an absence of a minimum age of criminal responsibility. [Criminal Code, Section 107; CRC/C/MHL/CO/2, para. 70]",记录数,1,5.961,169.651
Marshall Islands,"No child under the age of 10 is considered capable of committing a crime under national law, and children between the ages of 10 and 14 are presumed incapable of committing crimes except in relation to the offences of murder and rape where the presumption is rebuttable. However, there is no minimum age limit for the bringing disciplinary proceedings against a person under the age of 18. The UN Committee on the Rights of the Child has been critical of this provision, noting that it amounts to an absence of a minimum age of criminal responsibility. [Criminal Code, Section 107; CRC/C/MHL/CO/2, para. 70]",Minimum age of criminal responsibility,10,5.961,169.651
Malta,"Children under 14 cannot be held criminally responsible. [Criminal Code, Article 35(1) as amended in 2014]",记录数,1,35.9024,14.4137
Malta,"Children under 14 cannot be held criminally responsible. [Criminal Code, Article 35(1) as amended in 2014]",Minimum age of criminal responsibility,14,35.9024,14.4137
Mali,"Children under the age of 13 are conclusively presumed not to have the capacity to commit a criminal offence. A child aged 13 to 18 can only be held criminally responsible where he or she acted with discernment. [Ordonnance No. 02-062 /P-RM du 5 juin 2002, Article 98.]",记录数,1,18.211,-2.209
